instance_name	instance_id	region
AdminReports-New	i-89a2630e	A
API-tampabay	i-5458f665	W
AutonomyAdmin	i-75848209	A
AZDC-10	i-c562b3b8	A
AZDC-20	i-936611ea	A
azlxdevfadsol01	i-f6a7b468	W
azlxdevjmeter1	i-80db2111	W
azlxdevjmetergold - For JMeter builds - Golden image for azlxprdinfo	i-d9a2b444	W
azlxdevmeddrpal	i-dc274842	W
azlxdevpfcms1	i-6fc5b2ef	W
azlxdevpfdb1	i-1199dd91	W
azlxdevpfweb1	i-aef2852e	W
azlxqapfvar1	i-16ad2f95	W
azlxqapfvar2	i-71ee6cf2	W
azlxqapfweb1	i-d3fa7850	W
azlxqapfweb2	i-3d8200be	W
azlxstgpfcms1	i-9e341f1e	W
azlxstgpfsol1	i-6691a1e6	W
azlxstgpfweb1	i-201d36a0	W
developer-3	i-2fe43fc4	A
django-db-00	i-d62c26b6	D
django-db-01	i-14212b74	D
django-dev-1	i-a3cfe60a	V
django-dev-1-new	i-8efae1de	V
django-dev-news-1	i-ebde00c7	V
django-dev-web-1	i-a84eebc6	V
django-dev-web-db-1	i-6b37730b	V
django-dev-web-db-as-old-keep-works-no-instruction	i-7e1f39f9	V
django-qa-db-1	i-54fc7b07	V
django-qa-web-1	i-9b6684c9	V
django-web-1	i-2773ee49	D
django-web-2	i-23e2844d	D
drupal-dev-web-1	i-5e388632	V
drupal-qa-web-1	i-bb2695e8	V
ece-web-2	i-bb4421d5	D
gluster-c	i-fee9d89b	D
gluster-d	i-8aba8bef	D
indexer-dev-1	i-11483e69	A
indexer-dev-2	i-6f374a3f	A
indexer-qa-1	i-54baf67f	A
indexer-qa-2	i-d4b8f4ff	A
indexer-qa-3	i-44421caf	A
indexer-stg-1	i-05bf476d	A
livesite-dev-1	i-ce8ff09e	A
livesite-dev-varnish-1	i-ac741afe	A
livesite-qa-1	i-1f2f6f34	A
livesite-qa-2	i-bbace190	A
livesite-qa-varnish-1	i-9be704fb	A
livesite-qa-varnish-2	i-b047ebcd	A
livesite-stg-1	i-59406a09	A
mongodb-dev	i-a4c1283b	W
news-web-1	i-55eae73d	D
php-dev-1	i-1795c97a	A
php-dev-2	i-232c6d73	A
prod-db-0	i-f71e8494	D
prod-db-1	i-b30461d0	D
sp-tester-1 - SLA monitor - AWS VPN endpoint	i-0fef1b62	V
stg-gluster-1	i-f1983594	V
stg-gluster-2	i-25b00b40	V
teamsite-db-dev-1	i-ba1a82de	A
teamsite-dev-1	i-8e8870ea	A
teamsite-dev-search-1	i-181b837c	A
teamsite-dev-web-1	i-41fe603b	A
teamsite-qa-1	i-2fb55e40	A
teamsite-qa-db-1	i-f69da897	A
teamsite-qa-search-1	i-835eeeec	A
teamsite-stg-1	i-75bb770f	A
teamsite-stg-db-1	i-e4a37199	A
teamsite-stg-search-1	i-7f1855f8	A
TPC-DC-30	i-6512c1e6	W
tpc-glusterq	i-0ac74e8e	W
TPC-Web-Bastian-1b	i-a608e80f	W
TPC-Web-Bastian-1c	i-a85c6455	W
TPC-Web-CLA	i-f62c2755	W
TPC-Web-dbLB	i-c4f13a16	W
TPC-Web-dbLB	i-12569dc0	W
TPC-Web-ESB-1b	i-01e32982	W
TPC-Web-ESB-1b-batch	i-1b22f898	W
TPC-Web-ESB-1b-batch	i-6fd773ec	W
TPC-Web-ESB-1c	i-878a3a03	W
TPC-Web-JABIZ-Ubuntu	i-5468fa87	W
TPC-Web-LB	i-afeff107	W
TPC-Web-LB	i-ea554c42	W
TPC-Web-Logs	i-717f2ba7	W
TPC-Web-MMC	i-f8ea417c	W
TPC-Web-MMC	i-c52ca711	W
TPC-Web-NAT	i-948a5a46	W
